ID,year,age,sex,status,education,jobclass,health,health_ins,wage
1,2006,18,Male,Never Married,Less than HS Grad,Industrial,Good,No,75.04315402
2,2004,24,Male,Never Married,College Grad,Information,Very Good,No,70.47601965
3,2003,45,Male,Married,Some College,Industrial,Good,Yes,130.9821774
4,2003,43,Male,Married,College Grad,Information,Very Good,Yes,154.685293
5,2005,50,Male,Divorced,HS Grad,Information,Good,Yes,75.04315402
6,2008,54,Male,Married,College Grad,Information,Very Good,Yes,127.1157438
7,2009,44,Male,Married,Some College,Industrial,Very Good,Yes,169.528538
8,2008,30,Male,Never Married,Some College,Information,Good,Yes,111.7208494
9,2006,41,Male,Never Married,Some College,Information,Very Good,Yes,118.8843593
10,2004,52,Male,Married,HS Grad,Information,Very Good,Yes,128.6804882
11,2007,45,Male,Divorced,Some College,Information,Good,Yes,117.1468169
12,2007,34,Male,Married,HS Grad,Industrial,Very Good,No,81.28325328
13,2005,35,Male,Never Married,HS Grad,Information,Very Good,Yes,89.49247952
14,2003,39,Male,Married,College Grad,Industrial,Very Good,Yes,134.7053751
15,2009,54,Male,Married,HS Grad,Information,Very Good,Yes,134.7053751
16,2009,51,Male,Married,Some College,Industrial,Very Good,Yes,90.48191336
17,2003,37,Male,Never Married,College Grad,Industrial,Very Good,No,82.6796373
18,2006,50,Male,Married,Advanced Degree,Information,Very Good,No,212.8423523
19,2007,56,Male,Married,College Grad,Industrial,Good,Yes,129.156693
20,2003,37,Male,Never Married,Some College,Industrial,Very Good,Yes,98.59934386
21,2003,38,Male,Married,College Grad,Information,Very Good,No,200.5432623
22,2005,40,Male,Divorced,HS Grad,Information,Very Good,No,50.40666086
23,2009,75,Male,Married,College Grad,Industrial,Very Good,Yes,85.38394038
24,2007,40,Male,Married,College Grad,Information,Very Good,No,160.6424754
25,2006,38,Male,Never Married,HS Grad,Industrial,Good,No,94.07271475
26,2005,49,Male,Married,Advanced Degree,Information,Very Good,Yes,277.6014175
27,2006,43,Male,Married,HS Grad,Industrial,Good,Yes,84.04595765
28,2004,34,Male,Married,HS Grad,Industrial,Good,Yes,65.11085372
29,2008,57,Male,Married,HS Grad,Industrial,Very Good,No,116.2653241
30,2003,18,Male,Never Married,HS Grad,Industrial,Very Good,Yes,70.47601965
31,2004,55,Male,Married,Advanced Degree,Information,Very Good,Yes,195.676308
32,2005,51,Male,Married,Some College,Information,Very Good,Yes,101.4020523
33,2008,33,Male,Never Married,Advanced Degree,Industrial,Very Good,No,81.28325328
34,2005,34,Male,Never Married,HS Grad,Industrial,Very Good,No,111.7208494
